"ID	",Name,説明,タイプ一致,サポート効果,コスト,属性,〇マス先,ダメージ,"0,0","0,1","0,2","1,0","1,1","1,2","2,0","2,1","2,2","3,0","3,1","3,2","4,0","4,1","4,2","5,0","5,1","5,2"
0,Default_0_1,上記範囲に１ダメージ,Test,次のターン、コスト判定時にコストを１下げる,0,Random,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Default_0_2,上記範囲に１ダメージ,Test,次のターン、相手に与えるダメージ＋２,1,Random,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2,Default_0_3,上記範囲に２ダメージ,Test,次のターン、コスト判定時にコストを２下げる,2,Random,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3,Default_0_4,上記範囲に２ダメージ,Test,次のターン、相手から受けるダメージー２,3,Random,2,2,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
4,Default_0_5,上記範囲に４ダメージ,Test,次のターン、コスト判定時にコストを３下げる,4,Random,2,4,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
5,Default_0_6,上記範囲に５ダメージ,Test,HPを２回復,5,Random,2,5,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6,Default_0_7,上記範囲に７ダメージ,Test,Test,6,Random,2,7,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
7,Default_1_1,上記範囲に１ダメージ,Test,次のターン、コスト判定時にコストを１下げる,0,Random,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,Default_1_2,上記範囲に１ダメージ,Test,次のターン、相手に与えるダメージ＋２,1,Random,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Default_1_3,上記範囲に２ダメージ,Test,次のターン、コスト判定時にコストを２下げる,2,Random,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Default_1_4,上記範囲に２ダメージ,Test,次のターン、相手から受けるダメージー２,3,Random,2,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11,Default_1_5,上記範囲に４ダメージ,Test,次のターン、コスト判定時にコストを３下げる,4,Random,2,4,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
12,Default_1_6,上記範囲に５ダメージ,Test,HPを２回復,5,Random,2,5,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
13,Default_1_7,上記範囲に８ダメージ,Test,Test,6,Random,2,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
14,Curse_1,上記範囲に１ダメージ,Test,次のターン、コスト判定時にコストを１下げる,0,Curse,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Curse_2,上記範囲に１ダメージ,Test,次のターン、相手に与えるダメージ＋２,1,Curse,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,Curse_3,上記範囲に２ダメージ,Test,次のターン、コスト判定時にコストを２下げる,2,Curse,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Curse_4,上記範囲に２ダメージ,Test,次のターン、相手から受けるダメージー２,3,Curse,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,Curse_5,上記範囲に５ダメージ,Test,次のターン、コスト判定時にコストを３下げる,4,Curse,2,5,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
19,Curse_6,上記範囲に５ダメージ,Test,HPを２回復,5,Curse,2,5,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
20,Curse_7,上記範囲に７ダメージ,Test,Test,6,Curse,2,7,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0
21,Magic_1,上記範囲に２ダメージ,Test,次のターン、コスト判定時にコストを１下げる,0,Magic,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
22,Magic_2,上記範囲に３ダメージ,Test,次のターン、相手に与えるダメージ＋２,1,Magic,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
23,Magic_3,上記範囲に４ダメージ,Test,次のターン、コスト判定時にコストを２下げる,2,Magic,2,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
24,Magic_4,上記範囲に５ダメージ,Test,次のターン、相手から受けるダメージー２,3,Magic,2,5,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
25,Magic_5,上記範囲に６ダメージ,Test,次のターン、コスト判定時にコストを３下げる,4,Magic,2,6,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
26,Magic_6,上記範囲に７ダメージ,Test,HPを２回復,5,Magic,2,7,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
27,Magic_7,上記範囲に８ダメージ,Test,Test,6,Magic,2,8,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
28,Tech_1,上記範囲に１ダメージ,Test,次のターン、コスト判定時にコストを１下げる,0,Tech,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
29,Tech_2,上記範囲に１ダメージ,Test,次のターン、相手に与えるダメージ＋２,1,Tech,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30,Tech_3,上記範囲に２ダメージ,Test,次のターン、コスト判定時にコストを２下げる,2,Tech,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
31,Tech_4,上記範囲に２ダメージ,Test,次のターン、相手から受けるダメージー２,3,Tech,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
32,Tech_5,上記範囲に４ダメージ,Test,次のターン、コスト判定時にコストを３下げる,4,Tech,2,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
33,Tech_6,上記範囲に４ダメージ,Test,HPを２回復,5,Tech,2,4,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
34,Tech_7,上記範囲に６ダメージ,Test,Test,6,Tech,2,6,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
